lead_rank,region_bucket,city,clinic_name,address,contact_email,contact_phone,official_website,listing_url,quality_tier,quality_score,verification_status,source_file
87,national_backup,Rotterdam,"Ordentall, kliniek voor parodontologie en implantologie","Westblaak 113, Rotterdam",administratie@ordentall.nl,+31104121500,https://www.ordentall.nl,https://www.tandarts.nl/tandarts-rotterdam/ordentall-kliniek-voor-parodontologie-en-implantologie,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
88,national_backup,Amstelveen,Tandartsenpraktijk Arnout & Hobbelink,"Texelstraat 78, Amstelveen",info@ahtandartsen.nl,+3120-6420707,https://www.ahtandartsen.nl,https://www.tandarts.nl/tandarts-amstelveen/tandartsenpraktijk-arnout-hobbelink,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
89,national_backup,Haarlem,Tandartspraktijk Kirsten Knetsch,"Wilhelminastraat 17, Haarlem",info@tpkk.nl,0235315157,https://www.tpkk.nl,https://www.tandarts.nl/tandarts-haarlem/tandartspraktijk-kirsten-knetsch,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
90,national_backup,Rotterdam,Dental Clinics Rotterdam Eudokiaplein,"Eudokiaplein 35C, Rotterdam",eudokiaplein@dentalclinics.nl,+31107900694,https://www.dentalclinics.nl/tandarts/rotterdam-eudokiaplein/,https://www.tandarts.nl/tandarts-rotterdam/dental-clinics-rotterdam-eudokiaplein,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
91,national_backup,Amersfoort,LICHT Dentist,"Vondellaan 10, Amersfoort",info@lichtdentist.nl,033 - 465 0712,https://lichtdentist.nl/,https://www.tandarts.nl/tandarts-amersfoort/licht-dentist,A,95,official_site_and_email_verified,brabant-dental-top-100.csv
92,national_backup,Rotterdam,Tandartsenpraktijk Willemsplein,"Willemsplein 497A, Rotterdam",info@tandartswillemsplein.nl,0031104137911,https://www.tandartswillemsplein.nl,https://www.tandarts.nl/tandarts-rotterdam/tandartsenpraktijk-willemsplein,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
93,national_backup,Rotterdam,Tandartsenpraktijk Zalmhaven,"Westerstraat 31, Rotterdam",info@tandartszalmhaven.nl,0031850299175,https://tandartszalmhaven.nl/,https://www.tandarts.nl/tandarts-rotterdam/tandartsenpraktijk-zalmhaven,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
94,national_backup,Leiden,De Mond van Leiden,"Mangoweg 171, Leiden",info@demondvanleiden.nl,06 23 81 02 67,https://demondvanleiden.nl/afspraak-maken/,https://www.tandarts.nl/tandarts-leiden/de-mond-van-leiden,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
95,national_backup,Haarlem,Dental Clinics Haarlem Rijksstraatweg,"Rijksstraatweg 126, Haarlem",rijksstraatweg@dentalclinics.nl,+31235252416,https://www.dentalclinics.nl/tandarts/haarlem-rijksstraatweg/,https://www.tandarts.nl/tandarts-haarlem/dental-clinics-haarlem-rijksstraatweg,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
96,national_backup,Amstelveen,MID Tandartsen,"Belcampoplantsoen 1, Amstelveen",amstelveen@midtandartsen.nl,020-4263888,https://midtandartsen.nl/,https://www.tandarts.nl/tandarts-amstelveen/mid-tandartsen,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
97,national_backup,Amersfoort,Eemvallei Tandartsen,"Aalscholverpad 2, Amersfoort",info@eemvalleitandartsen.nl,123-456-7890,https://eemvalleitandartsen.nl,https://www.tandarts.nl/tandarts-amersfoort/eemvallei-tandartsen,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
98,national_backup,Rotterdam,Rodin Dental Clinic,"P.C. Hooftplein 8, Rotterdam",info@rodindentalclinic.nl,//010 - 415 2745,https://www.rodindentalclinic.nl,https://www.tandarts.nl/tandarts-rotterdam/rodin-dental-clinic,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
99,national_backup,Amstelveen,Tandartspraktijk Rembrandt,"Meester G. Groen van Prinstererlaan 92, Amstelveen",info@tandartspraktijkrembrandt.nl,+31 (0) 20 2260032,https://www.tandartspraktijkrembrandt.nl,https://www.tandarts.nl/tandarts-amstelveen/tandartspraktijk-rembrandt,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
100,national_backup,Rotterdam,Mondzorg Erasmus,"Prins Hendrikkade 45, Rotterdam",info@mondzorgerasmus.nl,+31103105636,https://mondzorgerasmus.nl/,https://www.tandarts.nl/tandarts-rotterdam/mondzorg-erasmus,A,92,official_site_and_email_verified,brabant-dental-top-100.csv
